Prime Contract ID,Contract Includes Sub Vendors,Vendor Record Type,Prime Vendor,Prime Vendor M/WBE Category,Prime Contract Purpose,Prime Contract Current Amount,Prime Contract Original Amount,Prime Vendor Spend to Date,Prime Contract Start Date,Prime Contract End Date,Prime Contract Registration Date,Prime Woman Owned Business,Prime Emerging Business,Prime Contracting Agency,OCA Number,Prime Contract Version,FMS Document/Parent Contract ID,Prime Contract Type,Prime Contract Award Method,Prime Contract Expense Category,Prime Contract Industry,Prime Contract PIN,Prime Contract APT PIN,% COVID Spending,% Other Spending,Sub Vendor,Sub Vendor M/WBE Category,Sub Contract Purpose,Subcontract Status,Sub Contract Industry,Sub Contract Current Amount,Sub Contract Original Amount,Sub Vendor Paid to Date,Sub Contract Start Date,Sub Contract End Date,Sub Contract Reference ID,Sub Woman Owned Business,Sub Emerging Business,Prime Vendor Match,Sub Vendor Match
MMA107120258802791,no,Prime Vendor,RICHARDS PLUMBING AND HEATING CO INC,Non-M/WBE,RENEWAL FOR ON-CALL PLUMBING SERVICES AT VARIOUS DHS SHELTER,7776318.91,7776318.91,0.0,2/1/2024,1/31/2027,10/15/2024,No ,No ,Department of Homeless Services,1015840560.0,1,-,REQUIREMENTS-CONSTRUCTION,RENEWAL OF CONTRACT,,Construction Services,07122B8009KXLR001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,RICHARDS PLUMBING AND HEATING CO INC,Not Applicable
MMA105720258803823,no,Prime Vendor,HIGH POINT CONSTRUCTION GROUP CORP,Asian American,The Fire Department of the City of New York seeks the servic,8443200.0,8443200.0,0.0,2/1/2025,1/31/2030,12/4/2024,No ,No ,Fire Department,,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05724B0004001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,HIGH POINT CONSTRUCTION GROUP CORP,Not Applicable
MMA105720258802802,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,The Fire Department of the City of New York seeks the servic,9037750.0,9037750.0,0.0,2/1/2025,1/31/2030,11/12/2024,No ,No ,Fire Department,1015898989.0,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05724B0003001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,ZHL GROUP INC,Not Applicable
MMA105720248805474,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,The FDNY seeks the services of a qualified General Contracto,9455750.0,9455750.0,0.0,3/4/2024,3/3/2029,3/1/2024,No ,No ,Fire Department,1015099079.0,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0013001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,ZHL GROUP INC,Not Applicable
MMA105720248805471,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,The FDNY seeks the services of a qualified General Contracto,9155750.0,9155750.0,14167.85,3/4/2024,3/3/2029,3/6/2024,No ,No ,Fire Department,1015111086.0,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0015001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,ZHL GROUP INC,Not Applicable
MMA105720248805470,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,The FDNY seeks the services of a qualified General Contracto,9245000.0,9245000.0,0.0,3/4/2024,3/3/2029,3/6/2024,No ,No ,Fire Department,1015108858.0,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0014001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,ZHL GROUP INC,Not Applicable
MMA105720248804543,no,Prime Vendor,CRESCENT CONTRACTING CORP,Non-M/WBE,"HVAC and refrigeration preventative maintenance, repair and",10170000.0,10170000.0,0.0,1/1/2024,12/31/2028,1/11/2024,No ,No ,Fire Department,1014965103.0,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0006001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,CRESCENT CONTRACTING CORP,Not Applicable
MMA105720248804449,no,Prime Vendor,CRESCENT CONTRACTING CORP,Non-M/WBE,"HVAC and refrigeration preventative maintenance, repair and",10038000.0,10038000.0,0.0,1/1/2024,12/31/2028,1/12/2024,No ,No ,Fire Department,1014951214.0,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0004001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,CRESCENT CONTRACTING CORP,Not Applicable
MMA105720248804351,no,Prime Vendor,CRESCENT CONTRACTING CORP,Non-M/WBE,The Fire Department of New York City seeks to contract with,8530400.0,8530400.0,0.0,1/1/2024,12/31/2028,1/4/2024,No ,No ,Fire Department,1014906278.0,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0007001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,CRESCENT CONTRACTING CORP,Not Applicable
MMA105720248804325,no,Prime Vendor,CRESCENT CONTRACTING CORP,Non-M/WBE,The Fire Department of New York City seeks to contract with,10170000.0,10170000.0,0.0,1/1/2024,12/31/2028,1/12/2024,No ,No ,Fire Department,1014929876.0,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0008001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,CRESCENT CONTRACTING CORP,Not Applicable
MMA105720248804248,no,Prime Vendor,CRESCENT CONTRACTING CORP,Non-M/WBE,The Fire Department of New York City seeks to contract with,8769100.0,8769100.0,0.0,1/1/2024,12/31/2028,12/18/2023,No ,No ,Fire Department,1014881817.0,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0005001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,CRESCENT CONTRACTING CORP,Not Applicable
CTA184120257200331,yes,Prime Vendor,TREVCON CONSTRUCTION COMPANY LLC,Non-M/WBE,Slip 1 Upper Bridge Rope Replacement W/O #5,660338.8,660338.8,90090.0,7/22/2024,6/12/2025,8/12/2024,No ,No ,Department of Transportation,1015665903.0,1,MMA184120228805039,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,MAINT & OPER OF INFRASTRUCTURE,Construction Services,84115MBSI898,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,No ,No ,TREVCON CONSTRUCTION COMPANY LLC,Not Applicable
