Certificate Number,Business Name,DBA Name,Business Type,Business is MWBE Owned,Business is Publicly Traded,Business Officers,Address,Address 2,City,State,Zip Code,Phone,Issued Date,Expiration Date,Status,Business has a NYS DOL Employer Registration Number,Reason business does not have a NYS DOL Employer Registration Number,Business has a WCB Employer Number,Business has outstanding wage assessments,Business has been debarred,Debarment State or Federal Law,Debarment State,Debarment Start Date,Debarment End Date,Business has final determination for violation of Labor or Tax Law,Business has final determination safety standard violations,Business is associated with an apprenticeship program,Business is sponsor of a program,Business is signatory to a group program,Business has Workers Compensation Insurance,Business is exempt from Workers Compensation Insurance,Georeference
24-639SQ-CR,10100 INC,10100 INC,Corporation,No,No,None Listed,955 WEST RIV RD,NOT APPLICABLE,GRAND ISLAND,NY,14072,7169837839,12/12/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-78.99049 42.97805)
24-63ZE1-CR,1068 CURRY ROAD INC,CITY GLASS COMPANY,Corporation,No,No,None Listed,1068 CURRY RD,NOT APPLICABLE,SCHENECTADY,NY,12306,5183552202,11/19/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.969 42.78614)
25-64TYL-CR,11400 LLC,CLARK FOOD SERVICE EQUIPMENT,LLC,No,No,None Listed,2551 HORSESHOE RD,NOT APPLICABLE,LANCASTER,PA,17601,7173927550,1/22/2025,1/22/2027,Active,No,Out of State,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-76.206 40.07246)
25-6414J-CR,1349 MAIN GORENFLOS BUFFALO WHOLESALE LOCK CO INC,GORENFLOS BUFFALO WHOLESALE LOCK,Corporation,No,No,None Listed,1349 MAIN ST,NOT APPLICABLE,BUFFALO,NY,14209,7168821974,1/28/2025,1/28/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-78.86594 42.91033)
25-64V75-CR,1895 ELECTRIC LLC,NO DBA,LLC,No,No,None Listed,60 SCHOL ST114,NOT APPLICABLE,ORCHARD PARK,NY,14127,7169091331,1/8/2025,1/8/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-78.74632 42.76559)
24-64BJ7-CR,192 BRANCH INTERIOR SERVICES INC,BRANCH SERVICES,Corporation,No,No,None Listed,2099 9TH AVE,NOT APPLICABLE,RONKONKOMA,NY,11779,6314676600,12/16/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,POINT (-73.14138 40.79489)
25-64UKT-CR,1 ACCORD SERVICES INC,1 ACCORD SERVICES INC,Corporation,Yes,No,None Listed,PO BOX 922,NOT APPLICABLE,BUFFALO,NY,14205,7166022404,1/29/2025,1/29/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
24-64R77-CR,1 CALL BUILDING MAINTENANCE CORP,1CALL BUILDING MAINTENANCE CORP,Corporation,Yes,No,None Listed,176 CLOCKS BLVD,NOT APPLICABLE,MASSAPEQUA,NY,11758,5163517765,12/20/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.42575 40.65824)
25-64JLF-CR,1 LEGACY CONSTRUCTION INC,NO DBA,Corporation,No,No,None Listed,1246 CONIFER CV LN,NOT APPLICABLE,WEBSTER,NY,14580,5853293618,1/2/2025,1/2/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-77.43471 43.22571)
25-64KVU-CR,1STARNETWORKS LLC,NO DBA,LLC,Yes,Yes,Troy  Binns,1140 EAST 92 ST,NOT APPLICABLE,BROOKLYN,NY,11236,7185136130,1/3/2025,1/3/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.90526 40.64165)
